Question Number,Level,Block 1,Block 2,Block 3,Block 4,Accuracy,Frequency
1,0,1,1,4,6,99.20,0
2,0,1,1,11,11,99.60,0
3,0,6,6,6,6,99.50,0
4,0,1,1,1,8,98.90,0
5,0,1,1,3,8,99.40,0
6,0,1,1,2,12,99.10,0
7,0,1,2,2,6,99.40,0
8,0,2,2,10,10,98.30,0
9,0,1,1,1,12,99.20,0
10,0,1,1,10,12,99.10,0
11,0,1,1,12,12,99.20,0
12,0,4,6,11,11,98.90,0
13,0,1,1,4,8,98.50,0
14,0,1,1,4,12,97.30,0
15,0,1,2,3,4,99.10,0
16,0,1,1,13,13,99.10,0
17,0,2,2,2,12,99.10,0
18,0,1,1,2,8,97.80,0
19,0,1,1,5,8,95.70,0
20,0,1,1,3,12,97.40,0
21,0,11,11,12,12,98.90,0
22,0,1,2,4,12,97.20,0
23,0,1,1,11,13,99.00,0
24,0,1,1,2,13,98.60,0
25,0,1,1,2,11,98.70,0
26,0,4,6,7,7,98.40,0
27,0,1,1,2,6,98.10,0
28,0,1,1,3,6,97.50,0
29,0,3,7,7,8,96.00,0
30,0,3,3,3,8,98.10,0
31,0,7,7,12,12,98.50,0
32,0,2,7,7,12,98.50,0
33,0,1,1,1,11,97.40,0
34,0,4,6,13,13,98.70,0
35,0,1,6,6,12,98.90,0
36,0,2,11,11,12,96.90,0
37,0,4,5,12,12,97.20,0
38,0,1,1,5,6,96.40,0
39,0,1,1,11,12,99.30,0
40,0,1,1,3,9,97.00,0
41,0,5,5,12,12,98.30,0
42,0,2,9,9,12,97.40,0
43,0,2,2,3,8,98.30,0
44,0,5,6,12,12,97.30,0
45,0,10,10,12,12,98.60,0
46,0,1,5,7,12,98.10,0
47,0,4,4,4,6,98.20,0
48,0,1,1,5,5,98.90,0
49,0,1,8,8,8,97.60,0
50,0,1,9,9,12,95.20,0
51,0,12,12,12,12,99.30,0
52,0,1,1,4,5,97.70,0
53,0,1,6,8,12,97.10,0
54,0,5,5,11,12,96.40,0
55,0,1,1,12,13,98.90,0
56,0,3,8,9,9,97.10,0
57,0,11,11,11,13,98.60,0
58,0,3,8,13,13,94.20,0
59,0,12,12,13,13,98.70,0
60,0,1,1,1,13,97.30,0
61,0,1,3,4,12,98.70,0
62,0,1,4,10,10,97.60,0
63,0,2,5,5,12,98.60,0
64,0,3,3,12,12,98.60,0
65,0,3,4,4,8,98.00,0
66,0,11,12,12,12,97.70,0
67,0,1,3,10,10,96.70,0
68,0,9,9,12,12,98.40,0
69,0,1,6,7,12,98.80,0
70,0,8,8,12,12,98.40,0
71,0,3,8,11,11,95.80,0
72,0,1,3,5,12,95.50,0
73,0,2,2,4,6,98.90,0
74,0,1,4,7,12,98.00,0
75,0,11,11,11,12,94.40,0
76,0,2,3,3,12,98.50,0
77,0,1,8,9,12,96.40,0
78,0,3,8,10,10,95.40,0
79,0,2,2,2,3,98.90,0
80,0,4,4,12,12,98.20,0
81,0,5,5,7,7,97.50,0
82,0,7,7,11,12,94.30,0
83,0,2,3,12,12,97.50,0
84,0,4,5,11,12,96.80,0
85,0,1,1,3,7,96.30,0
86,0,1,1,4,7,96.80,0
87,0,2,12,13,13,96.80,0
88,0,3,5,5,8,96.20,0
89,0,1,8,8,12,96.80,0
90,0,1,2,5,12,95.70,0
91,0,1,4,6,12,96.30,0
92,0,2,3,3,8,96.50,0
93,0,9,9,11,12,93.80,0
94,0,2,7,7,8,96.30,0
95,0,1,3,3,4,97.30,0
96,0,2,2,12,12,98.80,0
97,0,3,7,7,7,97.50,0
98,0,1,7,9,12,95.50,0
99,0,3,7,8,8,96.00,0
100,0,6,7,12,12,94.90,0
101,0,1,1,2,10,95.30,0
102,0,1,2,5,8,95.10,0
103,0,3,3,4,6,97.60,0
104,0,1,6,6,11,98.10,0
105,0,3,4,4,6,97.30,0
106,0,4,5,5,6,97.00,0
107,0,4,6,9,9,96.60,0
108,0,6,6,11,13,97.90,0
109,0,8,8,11,13,96.40,0
110,0,1,2,2,10,96.10,0
111,0,1,1,10,13,97.80,0
112,0,2,8,9,9,96.60,0
113,0,3,6,11,11,94.70,0
114,0,1,2,6,6,97.60,0
115,0,1,7,7,10,97.70,0
116,0,4,6,6,6,97.90,0
117,0,1,2,2,12,97.40,0
118,0,1,6,9,12,94.80,0
119,0,1,8,10,12,95.60,0
120,0,3,4,11,13,96.30,0
121,0,2,4,11,11,95.80,0
122,0,7,8,12,12,95.80,0
123,0,3,3,11,12,94.50,0
124,0,1,5,6,12,98.60,0
125,0,1,5,8,12,98.60,0
126,0,6,6,12,12,98.40,0
127,0,3,8,12,13,95.50,0
128,0,4,4,11,13,97.30,0
129,0,2,10,10,12,96.60,0
130,0,1,3,6,12,96.30,0
131,0,1,4,5,12,95.10,0
132,0,2,2,3,12,97.90,0
133,0,2,4,4,12,98.60,0
134,0,4,8,11,11,94.60,0
135,0,8,9,12,12,95.80,0
136,0,1,2,4,8,96.90,0
137,0,12,12,12,13,96.80,0
138,0,1,3,3,12,94.70,0
139,0,1,4,8,12,97.50,0
140,0,4,5,12,13,97.60,0
141,0,4,6,8,8,96.70,0
142,0,1,4,4,12,95.70,0
143,0,3,6,7,7,92.60,0
144,0,3,6,13,13,93.70,0
145,0,3,7,10,10,97.20,0
146,0,1,2,4,4,97.80,0
147,0,1,2,11,11,97.80,0
148,0,2,2,4,5,98.30,0
149,0,2,8,8,12,97.20,0
150,0,7,7,11,13,96.80,0
151,0,1,1,3,4,98.10,0
152,0,1,3,9,12,96.10,0
153,0,4,8,10,10,97.40,0
154,0,5,5,5,5,94.50,0
155,0,11,13,13,13,97.50,0
156,0,9,9,11,13,96.90,0
157,0,9,10,12,12,95.20,0
158,0,1,6,7,10,98.50,0
159,0,2,8,10,10,94.60,0
160,0,4,6,6,7,96.10,0
161,0,1,2,6,8,95.70,0
162,0,1,7,8,10,98.00,0
163,0,1,2,3,8,96.90,0
164,0,1,3,6,8,95.20,0
165,0,1,7,8,9,96.70,0
166,0,3,8,8,8,97.40,0
167,0,1,1,3,13,94.30,0
168,0,1,6,12,12,94.30,0
169,0,5,6,11,12,97.00,0
170,0,1,5,7,13,98.00,0
171,0,1,10,10,12,91.00,0
172,0,1,12,13,13,94.00,0
173,0,3,3,4,8,96.80,0
174,0,5,6,12,13,96.90,0
175,0,1,2,6,12,96.30,0
176,0,1,11,11,12,92.90,0
177,0,4,8,13,13,93.80,0
178,0,1,2,3,10,98.30,0
179,0,3,8,10,11,93.30,0
180,0,10,10,11,13,97.60,0
181,0,10,11,12,12,95.60,0
182,0,1,5,8,8,94.60,0
183,0,4,4,11,12,89.80,0
184,0,4,7,7,8,93.70,0
185,0,1,1,6,6,97.10,0
186,0,4,6,10,10,95.70,0
187,0,1,6,8,9,98.40,0
188,0,3,4,12,12,94.00,0
189,0,3,6,6,8,96.60,0
190,0,4,6,10,11,93.60,0
191,0,1,5,7,11,98.20,0
192,0,1,7,8,8,97.10,0
193,0,1,1,4,4,93.90,0
194,0,4,5,5,5,96.90,0
195,0,1,4,7,8,97.30,0
196,0,5,5,12,13,95.30,0
197,0,3,9,9,9,97.50,0
198,0,1,3,11,11,97.00,0
199,0,6,6,10,13,93.20,0
200,0,3,6,7,8,97.60,0
201,0,3,3,3,6,97.70,0
202,0,2,11,12,12,95.70,0
203,0,3,3,11,13,96.10,0
204,0,1,8,10,13,94.20,0
205,0,5,5,11,13,95.20,0
206,0,1,1,9,13,96.50,0
207,0,2,3,11,12,93.40,0
208,0,3,8,12,12,96.00,0
209,0,1,2,10,12,96.80,0
210,0,2,8,13,13,88.70,0
211,0,2,2,11,13,97.90,0
212,0,1,1,5,7,96.60,0
213,0,1,2,8,8,95.90,0
214,0,3,3,3,12,97.10,0
215,0,1,4,6,8,94.00,0
216,0,1,10,12,12,95.30,0
217,0,2,2,11,12,91.00,0
218,0,3,6,10,11,95.60,0
219,0,1,1,3,11,94.10,0
220,0,1,5,5,12,89.50,0
221,0,1,5,10,10,97.70,0
222,0,1,2,12,12,96.10,0
223,0,1,5,8,9,93.30,0
224,0,1,7,7,12,88.90,0
225,0,4,4,5,6,95.80,0
226,0,1,4,8,8,95.90,0
227,0,8,8,11,12,89.60,0
228,0,1,2,10,11,97.50,0
229,0,1,2,13,13,96.60,0
230,0,10,13,13,13,92.20,0
231,0,11,12,13,13,95.30,0
232,0,3,4,5,8,96.50,0
233,0,3,8,11,12,93.80,0
234,0,1,2,3,12,96.40,0
235,0,3,11,11,12,90.80,0
236,0,6,10,10,10,95.50,0
237,0,1,6,9,9,97.50,0
238,0,1,2,2,8,92.70,0
239,0,2,6,6,12,97.40,0
240,0,1,4,4,5,96.90,0
241,0,5,5,5,6,95.50,0
242,0,1,3,6,6,97.20,0
243,0,1,3,8,9,91.80,0
244,0,1,5,7,8,94.10,0
245,0,4,6,7,8,95.40,0
246,0,1,9,12,12,92.00,0
247,0,7,7,12,13,93.20,0
248,0,2,12,12,13,95.40,0
249,0,7,9,11,11,95.10,0
250,0,1,3,5,8,94.40,0
251,0,2,7,8,12,94.20,0
252,0,9,9,12,13,93.60,0
253,0,1,2,4,6,95.70,0
254,0,2,2,2,8,96.50,0
255,0,6,6,11,12,88.60,0
256,0,1,6,6,13,96.90,0
257,0,4,8,9,9,89.00,0
258,0,1,8,8,9,96.30,0
259,0,1,2,5,6,94.90,0
260,0,1,6,7,11,97.00,0
261,0,2,10,11,12,95.60,0
262,0,2,13,13,13,88.90,0
263,0,4,6,12,12,96.10,0
264,0,1,3,3,5,95.90,0
265,0,1,5,8,10,95.90,0
266,0,1,6,8,10,97.40,0
267,0,4,4,4,4,97.50,0
268,0,1,2,10,13,96.70,0
269,0,1,4,6,13,97.80,0
270,0,4,4,5,5,93.30,0
271,0,7,8,11,12,95.90,0
272,0,2,2,8,12,98.50,0
273,0,2,11,11,11,88.50,0
274,0,2,3,4,6,98.10,0
275,0,3,4,10,13,96.20,0
276,0,10,10,11,12,92.10,0
277,0,1,4,12,12,90.10,0
278,0,4,4,10,13,93.00,0
279,0,6,7,11,12,96.20,0
280,0,1,2,3,6,97.10,0
281,0,1,3,3,7,96.80,0
282,0,4,5,6,6,94.90,0
283,0,2,11,13,13,93.10,0
284,0,2,12,12,12,97.90,0
285,0,3,5,11,11,94.00,0
286,0,1,5,6,6,93.80,0
287,0,2,8,8,13,92.50,0
288,0,3,12,13,13,90.00,0
